                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6447,                 3.5765,                 1.9075,                 1.3445,                0.61094,                0.16731,                0.16491,                0.09427,                0.57609,                0.12944,                0.12301,                0.05977,                 2.1035,                 4.1266,                 2.2932,                 1.5614,             0.00041519,             0.00041519,             0.00041519
                     25,                 1.6449,                 3.5939,                 1.8955,                 1.3521,                0.61062,                0.17465,                0.16597,                0.09332,                0.57226,                0.13812,                0.12426,                0.06061,                 2.1079,                 4.1214,                 2.2707,                 1.5722,             0.00041433,             0.00041433,             0.00041433
                     26,                 1.6194,                 3.5774,                 1.8205,                 1.3441,                0.60889,                0.17106,                0.16442,                0.09096,                0.56905,                0.13785,                0.12379,                0.05858,                  2.119,                 4.0981,                 2.1826,                 1.5605,             0.00041347,             0.00041347,             0.00041347
                     27,                 1.5939,                 3.5259,                 1.7508,                 1.3392,                0.54879,                0.16738,                0.16195,                0.09216,                0.57368,                 0.1358,                0.12442,                0.05879,                  2.094,                 4.1082,                 2.1708,                 1.5394,             0.00041261,             0.00041261,             0.00041261
                     28,                  1.622,                 3.5531,                 1.7741,                 1.3444,                0.50234,                0.17272,                0.16888,                 0.0951,                 0.4588,                0.13875,                0.12442,                0.06054,                 2.0981,                  4.107,                 2.1695,                 1.5408,             0.00041174,             0.00041174,             0.00041174
                     29,                 1.5998,                 3.5213,                 1.6866,                 1.3368,                 0.4888,                0.17839,                0.16598,                0.09195,                0.44867,                0.13777,                0.11952,                0.05838,                 2.1075,                 4.0975,                 2.1761,                  1.537,             0.00041088,             0.00041088,             0.00041088
                     30,                  1.584,                 3.5031,                 1.7105,                 1.3291,                0.48835,                0.18034,                0.17045,                0.09745,                0.46107,                 0.1484,                 0.1335,                0.06258,                 2.0678,                 4.0865,                 2.1383,                 1.5481,             0.00041002,             0.00041002,             0.00041002
                     31,                  1.579,                 3.5216,                 1.6506,                 1.3279,                0.50563,                0.17472,                 0.1734,                0.10013,                  0.471,                 0.1362,                0.12856,                 0.0607,                 2.0429,                 4.0637,                 2.1088,                 1.5373,             0.00040916,             0.00040916,             0.00040916
                     32,                 1.5834,                 3.4951,                 1.6397,                 1.3216,                0.55692,                0.18595,                0.17452,                0.09662,                0.52672,                0.13878,                0.12842,                0.06198,                 2.0418,                 4.0443,                 2.0872,                 1.5554,              0.0004083,              0.0004083,              0.0004083
                     33,                 1.5516,                 3.4549,                 1.5913,                 1.3076,                0.56014,                0.18591,                0.17627,                0.10094,                0.51998,                0.14473,                0.12984,                0.06437,                 2.0227,                 4.0334,                 2.0647,                 1.5527,             0.00040744,             0.00040744,             0.00040744
                     34,                  1.544,                  3.423,                 1.5655,                  1.312,                0.55989,                0.18483,                0.17987,                0.10291,                0.53071,                0.15027,                0.13768,                0.06681,                 2.0315,                 4.0674,                 2.0421,                 1.5572,             0.00040658,             0.00040658,             0.00040658
                     35,                 1.5157,                 3.4412,                 1.5506,                 1.2907,                0.55733,                0.18295,                0.17916,                0.10007,                0.50358,                0.14052,                0.12583,                0.06297,                 2.0563,                 4.0951,                  2.063,                 1.5828,             0.00040572,             0.00040572,             0.00040572
                     36,                 1.5242,                 3.4048,                 1.5243,                 1.2919,                0.57902,                0.18536,                0.18384,                0.10128,                0.52889,                0.14513,                 0.1329,                0.06396,                 2.0455,                 4.0772,                 1.9969,                 1.5467,             0.00040485,             0.00040485,             0.00040485
                     37,                 1.5017,                  3.413,                 1.4825,                 1.2945,                0.56238,                0.18532,                0.18365,                0.10453,                0.51672,                0.14605,                 0.1315,                0.06448,                  2.027,                 4.0526,                  1.964,                 1.5301,             0.00040399,             0.00040399,             0.00040399
                     38,                 1.4965,                 3.4218,                 1.4487,                 1.2786,                0.61553,                0.18508,                0.18216,                0.10093,                0.57862,                0.14812,                0.13668,                0.06391,                 2.0395,                 4.0375,                 2.0088,                 1.5354,             0.00040313,             0.00040313,             0.00040313
                     39,                 1.5032,                 3.3848,                 1.4566,                 1.2832,                0.60425,                0.17776,                0.18485,                0.09973,                0.57925,                0.14764,                0.14486,                0.06696,                 2.0437,                 4.0267,                  2.038,                 1.5589,             0.00040227,             0.00040227,             0.00040227
                     40,                 1.4895,                 3.3964,                 1.4687,                 1.2968,                 0.6096,                0.18214,                0.18162,                0.10025,                0.57383,                0.14598,                0.13549,                0.06427,                 2.0273,                 4.0376,                 1.9595,                  1.543,             0.00040141,             0.00040141,             0.00040141
                     41,                  1.491,                 3.3955,                 1.4308,                 1.2744,                 0.5514,                 0.1937,                0.18401,                0.10286,                0.57703,                0.15451,                0.13921,                0.06752,                 2.0067,                 4.0169,                 1.9316,                 1.5178,             0.00040055,             0.00040055,             0.00040055
                     42,                 1.4954,                  3.371,                   1.43,                 1.2849,                 0.5742,                0.17917,                0.18358,                0.10067,                0.53168,                0.14584,                0.13648,                0.06638,                 2.0389,                  4.054,                 1.9783,                 1.5445,             0.00039969,             0.00039969,             0.00039969
                     43,                 1.4977,                 3.3888,                   1.44,                 1.2865,                0.56645,                0.17958,                0.19312,                0.10666,                0.53374,                0.15021,                0.14913,                0.06949,                 2.0148,                 4.0338,                 1.9364,                 1.5278,             0.00039883,             0.00039883,             0.00039883
                     44,                 1.4663,                 3.3331,                 1.3867,                 1.2602,                0.50889,                0.18429,                0.18562,                0.10519,                0.48143,                0.15199,                0.13837,                0.06618,                 2.0247,                 4.0479,                 1.8808,                 1.5164,             0.00039796,             0.00039796,             0.00039796
                     45,                 1.4783,                 3.2899,                 1.3884,                 1.2708,                0.48312,                0.18618,                0.18959,                0.10855,                0.45505,                 0.1557,                 0.1441,                0.06811,                 2.0063,                 4.0259,                 1.8493,                 1.5046,              0.0003971,              0.0003971,              0.0003971
                     46,                 1.4596,                 3.3131,                 1.3734,                 1.2655,                0.45548,                0.19164,                0.18998,                0.10681,                 0.4079,                0.15563,                 0.1441,                0.06971,                 2.0129,                 4.0229,                 1.8303,                 1.5096,             0.00039624,             0.00039624,             0.00039624
                     47,                 1.4338,                 3.2921,                 1.3423,                 1.2524,                0.47272,                0.18877,                0.18963,                0.10596,                0.42293,                0.15099,                0.14271,                0.06622,                 2.0324,                 4.0306,                 1.8676,                 1.5267,             0.00039538,             0.00039538,             0.00039538
                     48,                 1.4295,                 3.2537,                 1.3291,                   1.25,                 0.5657,                0.19185,                0.19163,                0.10566,                0.53196,                0.15315,                0.14897,                0.06893,                 2.0393,                 4.0601,                 1.9276,                 1.5428,             0.00039452,             0.00039452,             0.00039452
                     49,                 1.4598,                 3.2984,                  1.358,                 1.2597,                0.56556,                0.18544,                0.18416,                0.10384,                 0.5243,                0.14546,                0.13685,                0.06467,                 2.0388,                 4.0458,                 1.9443,                 1.5428,             0.00039366,             0.00039366,             0.00039366
