                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2625,                   3.01,                 1.0378,                 1.1585,                 0.3669,                0.23694,                0.21912,                0.12129,                0.31399,                0.18623,                0.16402,                 0.0777,                 1.9841,                 4.1034,                 1.7162,                 1.5046,             0.00034801,             0.00034801,             0.00034801
                    103,                  1.261,                 2.9941,                 1.0319,                 1.1611,                0.37748,                0.24121,                 0.2165,                0.11761,                0.31397,                0.19268,                0.16102,                0.07739,                 1.9863,                 4.1392,                   1.71,                 1.5233,             0.00034715,             0.00034715,             0.00034715
                    104,                 1.2713,                 2.9601,                 1.0205,                 1.1476,                0.38831,                0.24986,                0.21687,                0.11944,                0.31462,                0.18595,                0.15595,                0.07502,                 1.9829,                 4.1077,                 1.6685,                 1.5062,             0.00034629,             0.00034629,             0.00034629
                    105,                 1.2653,                 2.9792,                 1.0249,                 1.1432,                0.38165,                 0.2459,                0.21737,                0.12193,                0.31401,                0.18602,                0.15729,                0.07583,                 1.9768,                 4.0991,                 1.6764,                  1.505,             0.00034542,             0.00034542,             0.00034542
                    106,                 1.2539,                 2.9844,                 1.0274,                  1.155,                0.35987,                0.24876,                0.21379,                0.12088,                0.28838,                0.18298,                0.15171,                0.07337,                 1.9853,                 4.1533,                 1.7066,                 1.5203,             0.00034456,             0.00034456,             0.00034456
                    107,                 1.2508,                 2.9604,                 1.0144,                  1.153,                0.36775,                0.25079,                0.21861,                0.12245,                0.30259,                0.19306,                0.16035,                0.07596,                 1.9539,                 4.1084,                  1.668,                 1.4979,              0.0003437,              0.0003437,              0.0003437
                    108,                 1.2481,                 2.9509,                 1.0171,                 1.1529,                0.40249,                0.23964,                0.22313,                0.12284,                0.34279,                0.18052,                0.16079,                0.07682,                  1.956,                 4.0927,                 1.6579,                 1.4924,             0.00034284,             0.00034284,             0.00034284
                    109,                  1.257,                 2.9721,                 1.0217,                 1.1533,                0.41673,                0.23751,                0.22393,                0.12212,                0.36347,                0.18296,                0.16559,                0.07584,                 1.9566,                 4.0687,                 1.6633,                 1.4998,             0.00034198,             0.00034198,             0.00034198
                    110,                 1.2396,                 2.9276,                 1.0029,                 1.1458,                0.37168,                0.24184,                0.21179,                0.11706,                0.31681,                0.18415,                0.15453,                0.07016,                  1.952,                 4.0719,                 1.6794,                  1.501,             0.00034112,             0.00034112,             0.00034112
                    111,                  1.257,                 2.9517,                 1.0064,                 1.1544,                0.38494,                 0.2446,                0.21551,                0.11798,                0.31797,                 0.1825,                0.15282,                0.06542,                 1.9866,                 4.0906,                 1.6948,                 1.5122,             0.00034026,             0.00034026,             0.00034026
                    112,                 1.2523,                 2.9746,                 1.0214,                 1.1473,                0.37879,                0.24092,                0.21365,                 0.1193,                0.33481,                0.19227,                0.15914,                0.07257,                 1.9692,                 4.0932,                 1.6985,                 1.5006,              0.0003394,              0.0003394,              0.0003394
                    113,                 1.2555,                  2.947,                 1.0074,                 1.1457,                0.36967,                0.23607,                0.20596,                0.11241,                 0.3052,                0.18631,                0.15071,                0.07144,                 1.9951,                 4.0979,                 1.7102,                  1.529,             0.00033853,             0.00033853,             0.00033853
                    114,                  1.242,                 2.9227,                0.99935,                 1.1479,                 0.3839,                0.23471,                0.21782,                0.12084,                0.33843,                0.18183,                0.16125,                0.07718,                 1.9891,                 4.0652,                 1.6936,                 1.5167,             0.00033767,             0.00033767,             0.00033767
                    115,                 1.2469,                 2.9505,                 1.0022,                 1.1335,                0.36567,                0.23824,                0.20785,                0.11484,                0.29922,                0.17305,                0.14399,                0.07162,                 2.0121,                 4.0916,                 1.6924,                 1.5228,             0.00033681,             0.00033681,             0.00033681
                    116,                 1.2564,                 2.9413,                 1.0121,                 1.1588,                0.36477,                0.23864,                0.21245,                0.11497,                0.28967,                 0.1841,                0.15288,                0.07346,                 1.9987,                 4.1195,                 1.6926,                 1.5224,             0.00033595,             0.00033595,             0.00033595
                    117,                 1.2447,                 2.9322,                0.99375,                 1.1477,                0.36585,                0.24053,                0.21745,                0.12081,                0.30763,                0.18115,                0.15316,                0.07212,                 2.0038,                 4.1506,                 1.6788,                 1.5133,             0.00033509,             0.00033509,             0.00033509
                    118,                  1.245,                 2.9293,                 1.0089,                 1.1385,                0.39589,                 0.2338,                0.22038,                0.12154,                0.32491,                0.17633,                0.15667,                0.07392,                 2.0118,                 4.1837,                 1.6678,                 1.5164,             0.00033423,             0.00033423,             0.00033423
                    119,                 1.2297,                 2.9333,                0.99691,                 1.1475,                 0.3771,                0.24424,                0.22437,                0.12347,                0.31871,                0.16773,                0.14569,                0.07067,                 1.9737,                 4.1325,                 1.6337,                 1.5079,             0.00033337,             0.00033337,             0.00033337
                    120,                 1.2201,                 2.9466,                0.99081,                 1.1397,                0.35761,                 0.2551,                0.22552,                0.12447,                0.29853,                0.19326,                0.15832,                0.07417,                 1.9669,                 4.1553,                 1.6589,                  1.513,             0.00033251,             0.00033251,             0.00033251
                    121,                 1.2155,                 2.9101,                0.97772,                 1.1318,                 0.3413,                0.24906,                0.21932,                0.12001,                0.31069,                0.18455,                0.15998,                 0.0742,                 1.9869,                 4.0963,                 1.6683,                 1.5235,             0.00033164,             0.00033164,             0.00033164
                    122,                 1.1905,                 2.8919,                0.96966,                 1.1298,                0.35907,                0.24338,                0.21565,                0.11945,                0.29525,                0.18143,                0.15454,                0.07447,                  1.997,                 4.1224,                 1.6877,                 1.5333,             0.00033078,             0.00033078,             0.00033078
                    123,                 1.2386,                 2.9112,                0.97117,                 1.1296,                0.37118,                0.24146,                0.22059,                0.12333,                0.31213,                0.19016,                0.16225,                0.07427,                 1.9781,                 4.1063,                 1.6571,                  1.505,             0.00032992,             0.00032992,             0.00032992
                    124,                  1.211,                 2.8823,                0.96029,                 1.1213,                0.37434,                0.24446,                0.22626,                0.12438,                0.30704,                0.19479,                0.16623,                0.07686,                 1.9575,                 4.1032,                 1.6239,                 1.4908,             0.00032906,             0.00032906,             0.00032906
                    125,                 1.2419,                 2.9034,                0.98244,                 1.1326,                0.38381,                0.22911,                0.20926,                0.11658,                0.29935,                0.17179,                0.14505,                 0.0704,                 1.9831,                 4.1107,                 1.6634,                 1.5148,              0.0003282,              0.0003282,              0.0003282
                    126,                 1.2484,                 2.9192,                0.99844,                 1.1436,                0.37758,                0.23766,                0.20763,                0.11592,                0.30453,                 0.1814,                 0.1503,                0.07038,                 1.9672,                 4.1232,                 1.6589,                 1.4963,             0.00032734,             0.00032734,             0.00032734
                    127,                 1.2179,                 2.9104,                0.98318,                 1.1416,                0.38919,                0.24662,                0.21579,                0.11659,                0.32609,                0.18642,                0.15804,                 0.0744,                 1.9895,                 4.0736,                 1.6601,                 1.5137,             0.00032648,             0.00032648,             0.00032648
                    128,                 1.2267,                  2.948,                0.98379,                 1.1353,                0.38456,                 0.2419,                0.21828,                 0.1192,                0.33301,                0.17586,                0.15978,                0.07536,                 1.9906,                 4.1369,                 1.6945,                 1.5224,             0.00032561,             0.00032561,             0.00032561
                    129,                 1.2245,                 2.9042,                0.96745,                 1.1391,                0.37845,                0.23552,                0.21181,                0.11831,                0.33133,                0.17641,                0.15578,                0.07475,                 1.9851,                 4.1321,                 1.6883,                 1.5283,             0.00032475,             0.00032475,             0.00032475
                    130,                 1.2138,                 2.9184,                0.96838,                 1.1272,                0.39454,                 0.2363,                0.21809,                0.11947,                0.32011,                 0.1867,                0.16365,                0.07544,                  1.994,                 4.1566,                 1.6713,                 1.5202,             0.00032389,             0.00032389,             0.00032389
                    131,                 1.1972,                 2.9037,                0.96406,                 1.1236,                0.37734,                0.23271,                0.21139,                0.11411,                0.30298,                0.17595,                0.15028,                0.07203,                 1.9944,                  4.137,                 1.6822,                 1.5376,             0.00032303,             0.00032303,             0.00032303
                    132,                 1.2004,                 2.8452,                0.95937,                 1.1285,                0.38738,                0.23459,                0.22183,                0.12083,                0.34395,                 0.1815,                0.16321,                0.07745,                 1.9739,                 4.1555,                 1.6723,                 1.5236,             0.00032217,             0.00032217,             0.00032217
                    133,                 1.2124,                 2.8929,                0.96926,                 1.1159,                0.37846,                0.24586,                0.22457,                0.12187,                0.32022,                 0.1895,                0.16487,                0.07713,                 1.9666,                 4.1172,                 1.6594,                 1.5131,             0.00032131,             0.00032131,             0.00032131
                    134,                 1.1979,                 2.8955,                0.95737,                 1.1271,                0.38819,                0.24529,                0.22509,                0.12263,                0.30894,                0.19496,                0.16803,                0.07868,                 1.9794,                 4.1393,                  1.682,                 1.5028,             0.00032045,             0.00032045,             0.00032045
                    135,                 1.2053,                 2.8751,                0.96042,                 1.1131,                0.38576,                0.23901,                0.22307,                0.12329,                0.32881,                0.18824,                 0.1667,                0.07775,                 1.9849,                 4.1265,                 1.7035,                 1.5078,             0.00031959,             0.00031959,             0.00031959
                    136,                 1.2054,                 2.9024,                0.95391,                 1.1154,                0.38798,                0.23885,                0.22222,                0.12059,                0.31823,                0.19138,                0.16633,                0.07835,                 1.9898,                 4.0987,                 1.6585,                 1.5194,             0.00031872,             0.00031872,             0.00031872
                    137,                 1.1835,                  2.857,                0.94771,                 1.1212,                0.40219,                0.23979,                0.22733,                0.12422,                0.32489,                0.19171,                0.17128,                0.08047,                  1.978,                 4.1247,                 1.6499,                 1.5102,             0.00031786,             0.00031786,             0.00031786
                    138,                 1.2011,                 2.8349,                 0.9557,                 1.1118,                0.39659,                0.23152,                0.22063,                0.12037,                0.32702,                0.17851,                0.16062,                0.07409,                 1.9933,                 4.1562,                 1.6786,                 1.5284,               0.000317,               0.000317,               0.000317
                    139,                 1.2074,                 2.8844,                0.95793,                 1.1161,                0.37151,                 0.2445,                0.22019,                0.12068,                0.29452,                0.18445,                 0.1541,                0.06978,                 1.9822,                 4.1399,                 1.6735,                 1.5101,             0.00031614,             0.00031614,             0.00031614
                    140,                 1.2063,                 2.8977,                0.95998,                 1.1257,                0.38371,                0.23852,                0.21313,                0.11859,                0.30868,                0.17698,                0.15016,                0.06965,                  1.996,                 4.1745,                  1.684,                 1.5168,             0.00031528,             0.00031528,             0.00031528
                    141,                  1.198,                 2.8563,                0.93877,                 1.1239,                0.39665,                0.23557,                0.21626,                0.11865,                0.32584,                0.17305,                0.15102,                0.07037,                 1.9968,                 4.1689,                 1.6848,                 1.5177,             0.00031442,             0.00031442,             0.00031442
                    142,                 1.1864,                 2.8598,                0.93201,                 1.1106,                 0.4221,                0.23211,                 0.2231,                0.12197,                0.35634,                0.17527,                0.16165,                0.07222,                 1.9868,                 4.1661,                 1.6526,                  1.509,             0.00031356,             0.00031356,             0.00031356
                    143,                 1.2058,                  2.891,                0.94255,                 1.1108,                0.43138,                0.23412,                0.22203,                0.12294,                0.36845,                0.16814,                 0.1555,                0.07148,                 1.9926,                 4.1835,                 1.6639,                  1.526,              0.0003127,              0.0003127,              0.0003127
                    144,                 1.2067,                 2.8776,                0.94473,                 1.1201,                0.39796,                0.23857,                0.21921,                0.12255,                0.32397,                0.17943,                0.15259,                 0.0694,                 1.9654,                  4.132,                  1.652,                 1.5154,             0.00031183,             0.00031183,             0.00031183
                    145,                 1.1954,                 2.8466,                0.93887,                 1.1177,                0.40061,                0.24613,                0.21907,                0.12008,                0.31911,                0.18451,                0.15198,                0.06758,                 1.9661,                 4.1192,                 1.6437,                 1.5275,             0.00031097,             0.00031097,             0.00031097
                    146,                 1.1779,                 2.8258,                0.93404,                 1.1159,                0.37912,                0.25064,                0.21954,                0.12111,                0.29876,                0.18504,                0.14911,                0.07011,                 1.9407,                 4.0837,                 1.6257,                 1.5056,             0.00031011,             0.00031011,             0.00031011
                    147,                 1.1831,                 2.8531,                0.93065,                 1.0994,                0.38348,                0.24856,                0.22497,                0.12236,                0.29664,                0.19091,                0.15679,                0.07394,                  1.963,                 4.0799,                 1.6239,                 1.5133,             0.00030925,             0.00030925,             0.00030925
                    148,                 1.2045,                 2.8719,                 0.9459,                 1.1095,                0.40029,                0.24123,                0.22264,                0.12215,                0.31538,                0.19038,                0.15828,                0.07593,                 1.9554,                 4.0665,                 1.6265,                 1.5052,             0.00030839,             0.00030839,             0.00030839
                    149,                 1.1964,                  2.844,                0.94946,                 1.1201,                0.39319,                0.24829,                0.22273,                0.12302,                0.30934,                0.18855,                0.15533,                0.07443,                 1.9639,                 4.0991,                  1.635,                 1.5121,             0.00030753,             0.00030753,             0.00030753
                    150,                 1.1839,                 2.8129,                 0.9372,                 1.1094,                0.40132,                0.24929,                0.22823,                0.12384,                0.31006,                0.19329,                0.16215,                0.07592,                 1.9734,                 4.1466,                 1.6354,                 1.5176,             0.00030667,             0.00030667,             0.00030667
                    151,                 1.2059,                 2.8769,                0.94125,                 1.1142,                0.40111,                0.24937,                0.22072,                0.12086,                0.31979,                0.19405,                0.16042,                0.07595,                 1.9695,                 4.1283,                  1.635,                 1.5137,              0.0003058,              0.0003058,              0.0003058
                    152,                 1.1882,                 2.8561,                0.93755,                 1.1141,                0.32948,                0.24729,                0.22089,                0.12248,                 0.2611,                0.19509,                0.16759,                0.07905,                 1.9673,                 4.1251,                 1.6287,                 1.5143,             0.00030494,             0.00030494,             0.00030494
                    153,                 1.1878,                 2.8294,                0.92234,                  1.099,                0.33254,                0.24606,                0.22554,                0.12604,                0.28076,                0.19614,                0.17415,                0.08203,                 1.9625,                 4.1362,                 1.6239,                  1.507,             0.00030408,             0.00030408,             0.00030408
                    154,                 1.1843,                 2.8095,                0.93469,                 1.1114,                0.35134,                 0.2338,                0.22082,                0.12361,                0.27892,                0.18901,                0.16968,                0.07846,                 1.9778,                 4.1209,                 1.6598,                 1.5114,             0.00030322,             0.00030322,             0.00030322
                    155,                  1.187,                 2.8377,                0.92657,                 1.1078,                0.33763,                0.24185,                0.21801,                0.12101,                0.31776,                 0.1817,                0.15308,                0.06947,                 1.9742,                  4.085,                 1.6513,                 1.5143,             0.00030236,             0.00030236,             0.00030236
                    156,                 1.1904,                 2.8558,                0.94034,                 1.1232,                0.40825,                0.23586,                0.21417,                0.11879,                0.31518,                0.17766,                0.14926,                0.07155,                 1.9809,                 4.1147,                 1.6512,                 1.5151,              0.0003015,              0.0003015,              0.0003015
                    157,                 1.1792,                 2.8328,                0.94081,                 1.1132,                0.43394,                0.23544,                0.22145,                0.12292,                0.37062,                 0.1823,                0.16292,                 0.0781,                 1.9942,                 4.1398,                 1.6602,                 1.5052,             0.00030064,             0.00030064,             0.00030064
                    158,                 1.1862,                  2.809,                0.93785,                 1.1149,                0.39628,                0.23845,                0.21962,                 0.1224,                0.33645,                0.18766,                0.16196,                0.07745,                 1.9884,                  4.123,                 1.6302,                 1.4967,             0.00029978,             0.00029978,             0.00029978
                    159,                 1.1878,                 2.8035,                0.92405,                 1.1104,                0.36665,                0.23567,                0.21293,                0.11718,                0.31035,                0.18309,                0.15553,                 0.0734,                 1.9806,                 4.1517,                 1.6356,                 1.4996,             0.00029891,             0.00029891,             0.00029891
                    160,                 1.1716,                 2.8191,                 0.9081,                 1.1042,                0.37965,                 0.2413,                0.21842,                0.11766,                0.30582,                0.18957,                0.15953,                0.07482,                   1.99,                 4.1194,                 1.6274,                 1.5096,             0.00029805,             0.00029805,             0.00029805
                    161,                 1.1703,                 2.7877,                0.91488,                 1.1073,                0.38035,                0.24398,                0.22302,                0.12216,                0.30888,                0.19183,                0.16263,                0.07659,                 1.9653,                 4.1214,                 1.6128,                 1.5059,             0.00029719,             0.00029719,             0.00029719
                    162,                 1.1751,                 2.8344,                0.90788,                 1.1071,                0.39601,                0.24458,                0.22602,                0.12068,                0.30776,                0.19096,                0.16074,                 0.0731,                 1.9708,                 4.1655,                 1.6214,                 1.5407,             0.00029633,             0.00029633,             0.00029633
                    163,                 1.1794,                 2.8157,                0.91143,                 1.1032,                0.39623,                0.24351,                0.22577,                0.12027,                0.31006,                0.19472,                0.16573,                 0.0742,                 1.9756,                 4.1559,                 1.6224,                 1.5308,             0.00029547,             0.00029547,             0.00029547
                    164,                 1.1657,                 2.7934,                0.90119,                 1.0968,                0.41062,                0.23569,                0.22076,                0.11788,                0.33029,                0.18662,                0.16021,                0.07438,                  1.992,                 4.1396,                 1.6383,                 1.5322,             0.00029461,             0.00029461,             0.00029461
                    165,                 1.1604,                  2.806,                0.89675,                 1.0911,                0.38238,                0.23993,                0.21831,                0.11733,                0.31181,                0.19472,                0.16243,                0.07622,                  1.971,                 4.1664,                 1.6353,                 1.5225,             0.00029375,             0.00029375,             0.00029375
                    166,                 1.1448,                  2.768,                0.89459,                 1.0907,                0.38671,                0.24243,                 0.2248,                0.12221,                0.31408,                0.19661,                0.16733,                0.07771,                 1.9815,                 4.2032,                 1.6276,                 1.5197,             0.00029289,             0.00029289,             0.00029289
                    167,                  1.162,                 2.7934,                0.90582,                 1.1022,                0.40395,                 0.2398,                0.22334,                0.12323,                0.33956,                 0.1886,                0.16758,                 0.0756,                 1.9818,                 4.1856,                 1.6402,                  1.511,             0.00029202,             0.00029202,             0.00029202
                    168,                 1.1755,                   2.83,                0.91028,                  1.098,                0.41168,                0.23307,                 0.2177,                0.11909,                0.33918,                 0.1792,                0.16062,                0.07363,                   1.99,                 4.1333,                 1.6466,                 1.5229,             0.00029116,             0.00029116,             0.00029116
                    169,                 1.1539,                 2.8005,                0.91179,                 1.1111,                0.38303,                0.25019,                0.22583,                0.12549,                0.31318,                0.19025,                0.16581,                0.07857,                 1.9659,                 4.1517,                 1.6171,                 1.5097,              0.0002903,              0.0002903,              0.0002903
                    170,                 1.1682,                 2.8349,                0.90512,                 1.0917,                0.39411,                 0.2477,                0.22492,                0.12463,                0.35065,                  0.182,                0.16117,                 0.0776,                 1.9626,                  4.134,                 1.6148,                 1.5163,             0.00028944,             0.00028944,             0.00028944
                    171,                 1.1602,                 2.7752,                0.90108,                 1.0869,                0.41303,                0.24647,                0.22576,                0.12381,                0.34088,                0.19142,                0.16736,                0.08066,                 1.9627,                 4.1773,                 1.6153,                 1.5181,             0.00028858,             0.00028858,             0.00028858
                    172,                 1.1538,                 2.7474,                0.88588,                  1.099,                0.42952,                0.24279,                0.22649,                0.12428,                0.35385,                0.18677,                0.16768,                 0.0795,                 1.9617,                  4.166,                 1.6342,                 1.5212,             0.00028772,             0.00028772,             0.00028772
                    173,                  1.145,                 2.7722,                0.89662,                 1.0903,                 0.4112,                0.24554,                0.22509,                0.12348,                0.34154,                0.19172,                0.16843,                0.07899,                 1.9553,                  4.211,                  1.636,                 1.5196,             0.00028686,             0.00028686,             0.00028686
                    174,                 1.1737,                 2.7635,                0.90359,                 1.1017,                0.41047,                0.23707,                0.22005,                0.12097,                0.34309,                0.18523,                0.16214,                0.07781,                 1.9713,                 4.2031,                  1.649,                 1.5227,               0.000286,               0.000286,               0.000286
                    175,                 1.1555,                 2.7876,                0.89266,                 1.0897,                0.37726,                0.24297,                0.21334,                0.11835,                0.30771,                0.18529,                0.15263,                0.07492,                 1.9786,                  4.154,                 1.6542,                 1.5372,             0.00028513,             0.00028513,             0.00028513
                    176,                 1.1334,                 2.7192,                0.87405,                 1.0895,                0.40166,                 0.2444,                0.22233,                0.12081,                0.31942,                0.19031,                0.15745,                0.07259,                 1.9567,                 4.0939,                 1.6207,                 1.5183,             0.00028427,             0.00028427,             0.00028427
                    177,                 1.1622,                  2.781,                0.91328,                 1.0949,                0.38654,                0.24949,                0.22336,                0.11978,                0.30596,                0.18956,                0.15885,                0.07113,                 1.9641,                 4.1007,                 1.6258,                  1.527,             0.00028341,             0.00028341,             0.00028341
                    178,                 1.1579,                 2.7823,                0.89699,                  1.103,                0.38678,                0.23977,                0.21858,                0.12005,                0.30709,                0.18783,                0.16136,                0.07472,                 1.9691,                 4.1695,                 1.6459,                 1.5344,             0.00028255,             0.00028255,             0.00028255
                    179,                 1.1448,                 2.7691,                0.89093,                 1.0945,                0.37786,                0.24741,                0.22228,                0.12343,                0.30344,                0.19308,                0.16283,                0.07679,                 1.9599,                 4.1086,                 1.6229,                 1.5162,             0.00028169,             0.00028169,             0.00028169
                    180,                 1.1537,                 2.7769,                0.88997,                 1.0909,                0.41515,                0.24075,                0.22285,                 0.1235,                0.32979,                0.18839,                0.16231,                0.07604,                 1.9577,                 4.1019,                 1.6113,                  1.504,             0.00028083,             0.00028083,             0.00028083
                    181,                 1.1522,                 2.7641,                0.89355,                 1.0842,                0.40125,                0.24575,                0.22852,                0.12516,                0.32002,                0.19335,                0.16579,                0.07708,                 1.9638,                 4.1353,                 1.6162,                 1.5128,             0.00027997,             0.00027997,             0.00027997
                    182,                 1.1543,                  2.784,                0.89122,                  1.092,                0.42108,                0.24204,                0.23192,                0.12883,                 0.3314,                0.19168,                 0.1675,                0.08109,                 1.9507,                 4.0984,                 1.6066,                 1.4994,              0.0002791,              0.0002791,              0.0002791
                    183,                 1.1562,                 2.7515,                0.89411,                 1.0897,                0.42367,                0.23925,                 0.2306,                0.12587,                0.35471,                0.18264,                0.16761,                0.08269,                 1.9727,                  4.209,                 1.6268,                 1.5167,             0.00027824,             0.00027824,             0.00027824
                    184,                 1.1462,                 2.7619,                0.88399,                 1.0792,                0.40232,                0.24013,                0.22201,                0.12196,                  0.307,                0.18638,                0.15686,                0.07714,                  1.979,                 4.1399,                 1.6381,                 1.5241,             0.00027738,             0.00027738,             0.00027738
                    185,                 1.1414,                 2.7818,                0.90257,                 1.0976,                0.40453,                0.22885,                0.21479,                0.11709,                0.32888,                 0.1807,                0.15768,                0.07738,                 2.0011,                 4.1794,                 1.6829,                 1.5515,             0.00027652,             0.00027652,             0.00027652
                    186,                 1.1426,                 2.7736,                0.88972,                 1.0944,                0.41817,                0.24165,                0.22383,                0.12448,                 0.3293,                0.19118,                0.16247,                0.07956,                  1.973,                 4.1682,                 1.6368,                   1.51,             0.00027566,             0.00027566,             0.00027566
                    187,                 1.1411,                 2.7288,                0.88021,                 1.0897,                0.38994,                0.24872,                0.22845,                0.12723,                0.32517,                0.19486,                0.17154,                0.08289,                  1.969,                  4.178,                 1.6013,                 1.4983,              0.0002748,              0.0002748,              0.0002748
                    188,                 1.1348,                  2.723,                 0.8798,                 1.0863,                0.39289,                0.24512,                0.22762,                0.12724,                0.33573,                0.19322,                0.16983,                0.08152,                 1.9617,                 4.1084,                 1.5956,                 1.4989,             0.00027394,             0.00027394,             0.00027394
                    189,                 1.1427,                  2.701,                 0.8767,                 1.0935,                0.38857,                0.24156,                0.22922,                0.12619,                0.31575,                0.19169,                0.16605,                0.07958,                 1.9744,                 4.1221,                 1.6056,                 1.5119,             0.00027308,             0.00027308,             0.00027308
                    190,                 1.1311,                 2.7125,                0.87965,                 1.0936,                0.38849,                0.24368,                0.22173,                0.12395,                0.31863,                0.19288,                0.16313,                0.07783,                 1.9762,                 4.1368,                 1.6204,                 1.5087,             0.00027221,             0.00027221,             0.00027221
                    191,                 1.1492,                 2.7692,                0.88993,                 1.0989,                0.39917,                0.23949,                0.21915,                0.11908,                0.31928,                0.18656,                0.15965,                0.07626,                 1.9999,                 4.2062,                 1.6524,                 1.5296,             0.00027135,             0.00027135,             0.00027135
                    192,                 1.1406,                 2.7523,                0.88103,                 1.0857,                0.38202,                0.24687,                0.22375,                0.12164,                0.31327,                0.19253,                0.16558,                0.07889,                 1.9931,                 4.1556,                  1.637,                 1.5203,             0.00027049,             0.00027049,             0.00027049
                    193,                 1.1345,                 2.7289,                0.87396,                 1.0815,                 0.3844,                0.24223,                0.21787,                0.11842,                0.29964,                0.19312,                0.16296,                0.07722,                 2.0076,                  4.163,                 1.6548,                 1.5386,             0.00026963,             0.00026963,             0.00026963
                    194,                 1.1447,                 2.7735,                0.87384,                 1.0834,                0.37989,                 0.2483,                0.22219,                0.12133,                0.29941,                0.19095,                 0.1599,                0.07493,                 1.9874,                 4.0894,                 1.6195,                  1.507,             0.00026877,             0.00026877,             0.00026877
                    195,                 1.1274,                 2.7142,                0.86517,                 1.0751,                0.33105,                0.24673,                0.22014,                0.11977,                0.24994,                0.18546,                0.15823,                 0.0733,                 1.9857,                 4.1489,                 1.6301,                 1.5285,             0.00026791,             0.00026791,             0.00026791
                    196,                 1.1436,                 2.7445,                0.86916,                 1.0796,                0.34091,                0.24162,                0.21844,                0.12137,                 0.2856,                0.19098,                 0.1655,                0.07917,                 1.9788,                 4.1528,                 1.6298,                 1.5091,             0.00026705,             0.00026705,             0.00026705
                    197,                 1.1535,                 2.7601,                0.87545,                 1.0799,                0.35352,                 0.2473,                0.22114,                 0.1214,                0.32608,                0.19324,                0.16502,                 0.0774,                 1.9829,                 4.2064,                 1.6382,                 1.5197,             0.00026619,             0.00026619,             0.00026619
                    198,                 1.1438,                 2.7653,                0.88087,                 1.0872,                0.40159,                0.24319,                0.22302,                0.12132,                0.30983,                0.18164,                0.15662,                0.06996,                 1.9786,                  4.211,                 1.6231,                 1.5196,             0.00026532,             0.00026532,             0.00026532
                    199,                 1.1325,                 2.7642,                0.88451,                 1.0929,                0.40081,                0.24601,                0.22656,                0.12274,                0.34013,                0.18947,                0.16544,                 0.0741,                 1.9639,                 4.2293,                 1.6136,                 1.5182,             0.00026446,             0.00026446,             0.00026446
                    200,                 1.1236,                 2.7165,                0.85698,                 1.0715,                0.35346,                0.25408,                0.23053,                0.12588,                0.33775,                0.19578,                0.16694,                0.07588,                 1.9585,                 4.2174,                 1.6194,                 1.5106,              0.0002636,              0.0002636,              0.0002636
                    201,                 1.1474,                 2.7525,                0.86986,                  1.085,                0.40189,                0.25008,                0.22984,                0.12494,                0.33509,                0.19129,                0.16064,                0.07365,                 1.9531,                 4.1959,                 1.6185,                 1.5106,             0.00026274,             0.00026274,             0.00026274
                    202,                 1.1034,                 2.6746,                0.84167,                 1.0673,                0.41324,                0.24845,                 0.2277,                0.12311,                0.33527,                0.19224,                0.16368,                0.07553,                 1.9651,                 4.1665,                 1.6119,                 1.5239,             0.00026188,             0.00026188,             0.00026188
                    203,                 1.1238,                  2.689,                 0.8554,                 1.0789,                0.43296,                0.24089,                0.22952,                0.12519,                0.35434,                0.19149,                0.16989,                0.07784,                 1.9566,                 4.1221,                 1.5891,                 1.5209,             0.00026102,             0.00026102,             0.00026102
                    204,                 1.1288,                 2.7397,                0.86058,                 1.0785,                0.42448,                0.23001,                0.22268,                0.12351,                 0.3374,                 0.1784,                0.16204,                0.07592,                 1.9524,                 4.1529,                 1.5955,                 1.5253,             0.00026016,             0.00026016,             0.00026016
                    205,                 1.1142,                  2.712,                0.86179,                  1.073,                0.40492,                0.23221,                0.22074,                0.12194,                0.31987,                0.18337,                0.16298,                0.07656,                 1.9701,                 4.1863,                 1.6106,                 1.5304,             0.00025929,             0.00025929,             0.00025929
                    206,                 1.1249,                 2.6874,                0.85799,                 1.0843,                0.40647,                0.23715,                0.22216,                0.12109,                0.33499,                0.17508,                0.15954,                0.07519,                 1.9874,                  4.173,                  1.622,                  1.525,             0.00025843,             0.00025843,             0.00025843
                    207,                 1.1338,                 2.7321,                0.86435,                 1.0771,                0.40703,                 0.2379,                0.22654,                 0.1242,                0.32802,                0.18804,                0.16508,                0.07752,                 1.9718,                 4.1609,                 1.5918,                 1.5075,             0.00025757,             0.00025757,             0.00025757
                    208,                  1.138,                 2.7264,                0.87075,                 1.0761,                 0.3721,                0.25284,                0.22522,                0.12251,                 0.3137,                0.19608,                0.16674,                0.07862,                  1.976,                 4.1745,                  1.608,                 1.5028,             0.00025671,             0.00025671,             0.00025671
